mu,type,res,NMI,ARI,AMI,FPR,FNR,Precision,Recall,F1-score
0.8,post-CM,0.0001,0.161701115,0,0.001097014,0.806597169,0.195900349,0.000427407,0.804099651,0.000854359
0.8,post-CM,0.001,0.822213282,0.211103416,0.579737529,0.000584033,0.720687558,0.170213232,0.279312442,0.211523729
0.8,post-CM,0.01,0.914338329,0.428816329,0.732869288,4.13E-05,0.700655799,0.756512174,0.299344201,0.428955183
0.8,post-CM,0.1,0.870389607,0.152903008,0.383864241,4.37E-07,0.917102451,0.987853553,0.082897549,0.152959242
0.8,post-CM,0.5,0.836958552,0,8.59E-09,0,1,1,0,0
0.9,pre-CM,mod,0.060364897,7.26E-05,0.021271398,0.149541446,0.83877354,0.000502207,0.16122646,0.001001296
0.9,pre-CM,0.0001,0.068241883,0,0.002953497,0.811188169,0.194686037,0.000462455,0.805313963,0.000924379
0.9,pre-CM,0.001,0.489625492,0.003698484,0.049450597,0.001372703,0.991316851,0.002939333,0.008683149,0.004391947
0.9,pre-CM,0.01,0.645742896,0.008529136,0.055141845,0.000203269,0.993643921,0.014363542,0.006356079,0.008812498
0.9,pre-CM,0.1,0.758020327,0.007691852,0.051652006,3.09E-05,0.995850344,0.058859711,0.004149656,0.007752737
0.9,pre-CM,0.5,0.8021523,0.004551946,0.037054253,8.92E-06,0.997665202,0.108738252,0.002334798,0.00457144
0.9,post-CM,mod,0.40358398,9.61E-05,0.023081115,0.088204591,0.902652044,0.00051409,0.097347956,0.001022778
0.9,post-CM,0.0001,0.154857179,0,0.000689516,0.81095456,0.195248483,0.000462265,0.804751517,0.000923999
0.9,post-CM,0.001,0.662809831,0.004785291,0.045516523,0.000511711,0.99445539,0.005024408,0.00554461,0.005271707
0.9,post-CM,0.01,0.763274176,0.006136309,0.042337341,7.51E-05,0.996349677,0.022140913,0.003650323,0.00626736
0.9,post-CM,0.1,0.836489149,0,7.62E-09,0,1,1,0,0
0.9,post-CM,0.5,0.836489149,0,7.62E-09,0,1,1,0,0
