,net_name,step,r,clus_count,clus_count_10,node_cov,node_cov_10,mean_size,min_size,med_size,max_size
109,cen,Filter,0.1,18576,18576,0.039029951,0.039029951,29.39314169,11,19,320
110,cen,post-CM,0.1,14466,14466,0.035738539,0.035738539,34.56117793,11,20,320
111,cen_lfr,Leiden,0.1,719403,294,1,0.001563333,15.95238095,11,12,164
112,cen_lfr,Filter,0.1,294,294,0.001563333,0.001563333,15.95238095,11,12,164
113,cen_lfr,post-CM,0.1,238,238,0.001324,0.001324,16.68907563,11,12,164
114,cen,Leiden,0.5,433761,8448,0.092051459,0.009647208,15.97526042,11,14,70
115,cen,Filter,0.5,8448,8448,0.009647208,0.009647208,15.97526042,11,14,70
116,cen,post-CM,0.5,8448,8448,0.009647208,0.009647208,15.97526042,11,14,70
117,cen_lfr,Leiden,0.5,1446306,0,0.96432,0,0,0,0,0
118,cen_lfr,Filter,0.5,0,0,0,0,0,0,0,0
119,cen_lfr,post-CM,0.5,0,0,0,0,0,0,0,0
120,cen,Leiden,modularity,253,187,1,0.999978627,74808.21925,11,49,1312837
121,cen,Filter,modularity,48,48,0.99943536,0.99943536,291282.0208,12,155184.5,1312837
122,cen,post-CM,modularity,129,129,0.240104819,0.240104819,26038.22481,11,157,371560
123,cen_lfr,Leiden,modularity,1885,1885,1,1,1591.511936,927,1515,3376
124,cen_lfr,Filter,modularity,1885,1885,1,1,1591.511936,927,1515,3376
125,cen_lfr,post-CM,modularity,18911,18911,0.966802333,0.966802333,153.371424,11,63,1545
126,cit_patents,Leiden,0.0001,9125,3238,0.997981068,0.992618354,1157.166152,11,686,20000
127,cit_patents,Filter,0.0001,3024,3024,0.991673396,0.991673396,1237.875992,11,767,20000
128,cit_patents,post-CM,0.0001,3090,3090,0.502867991,0.502867991,614.3074434,11,264.5,17346
129,cit_patents_lfr,Leiden,0.0001,21627,21627,1,1,174.5396033,71,163,3388
130,cit_patents_lfr,Filter,0.0001,21627,21627,1,1,174.5396033,71,163,3388
131,cit_patents_lfr,post-CM,0.0001,88606,88606,0.559829107,0.559829107,23.84968287,11,15,3388
132,cit_patents,Leiden,0.001,29463,21596,0.994220837,0.986795745,172.4821726,11,97,3268
133,cit_patents,Filter,0.001,20608,20608,0.979210378,0.979210378,179.3619953,11,103,3268
134,cit_patents,post-CM,0.001,17312,17312,0.575038519,0.575038519,125.3833757,11,72,3014
135,cit_patents_lfr,Leiden,0.001,77723,77723,1,1,48.56693643,26,47,407
136,cit_patents_lfr,Filter,0.001,77723,77723,1,1,48.56693643,26,47,407
137,cit_patents_lfr,post-CM,0.001,216851,216851,1,1,17.40719665,13,15,407
138,cit_patents,Leiden,0.01,134380,114308,0.983004254,0.954827158,31.5310477,11,20,804
139,cit_patents,Filter,0.01,91410,91410,0.863968064,0.863968064,35.67748605,11,24,804
140,cit_patents,post-CM,0.01,53868,53868,0.546707506,0.546707506,38.31020272,11,24,804
141,cit_patents_lfr,Leiden,0.01,198006,190179,1,0.979310252,19.43784014,11,15,253
142,cit_patents_lfr,Filter,0.01,190179,190179,0.979310252,0.979310252,19.43784014,11,15,253
143,cit_patents_lfr,post-CM,0.01,86781,86781,0.579387395,0.579387395,25.2019797,11,16,252
144,cit_patents,Leiden,0.1,556688,58858,0.967409918,0.265672751,17.03851643,11,14,330
145,cit_patents,Filter,0.1,58543,58543,0.264754814,0.264754814,17.07100764,11,14,330
146,cit_patents,post-CM,0.1,49787,49786,0.237911575,0.237909456,18.03826377,11,15,330
147,cit_patents_lfr,Leiden,0.1,390418,102486,0.999898537,0.368469532,13.57148293,11,12,71
148,cit_patents_lfr,Filter,0.1,102486,102486,0.368469532,0.368469532,13.57148293,11,12,71
149,cit_patents_lfr,post-CM,0.1,101650,101650,0.365871492,0.365871492,13.58662076,11,12,71
150,cit_patents,Leiden,0.5,1143221,2653,0.722020002,0.010573365,15.04410102,11,13,116
151,cit_patents,Filter,0.5,2653,2653,0.010573365,0.010573365,15.04410102,11,13,116
152,cit_patents,post-CM,0.5,2653,2653,0.010573365,0.010573365,15.04410102,11,13,116
153,cit_patents_lfr,Leiden,0.5,1750960,2,0.948897522,6.89E-06,13,11,13,15
154,cit_patents_lfr,Filter,0.5,2,2,6.89E-06,6.89E-06,13,11,13,15
155,cit_patents_lfr,post-CM,0.5,2,2,6.89E-06,6.89E-06,13,11,13,15
156,cit_patents,Leiden,modularity,3708,94,1,0.997227909,40045.78723,11,4734.5,198537
157,cit_patents,Filter,modularity,75,75,0.997159825,0.997159825,50187.29333,11,33928,198537
158,cit_patents,post-CM,modularity,2750,2750,0.372829271,0.372829271,511.7614545,11,93,99999
159,cit_patents_lfr,Leiden,modularity,1317,1312,1,0.999990728,2877.083079,772,2335.5,9809
160,cit_patents_lfr,Filter,modularity,1312,1312,0.999990728,0.999990728,2877.083079,772,2335.5,9809
